tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek
BEZPOŚREDNIO: Słoneczne mieszkanie w super miejscu,https://www.otodom.pl/pl/oferta/bezposrednio-sloneczne-mieszkanie-w-super-miejscu-ID4wckQ.html,"Łódź, Śródmieście",36.19,299900.0,8287.0,580.0,2.0,,wtórny
Przestronna kawalerka | Bałuty | ul. Zgierska 75/81 | bezpośrednio,https://www.olx.pl/d/oferta/przestronna-kawalerka-baluty-ul-zgierska-75-81-bezposrednio-CID3-ID14LcQp.html,"Łódź, Bałuty",30.0,255000.0,8500.0,,1.0,Blok,Wtórny
"Na sprzedaż, słoneczne 2 pokojowe mieszkanie.",https://www.otodom.pl/pl/oferta/na-sprzedaz-sloneczne-2-pokojowe-mieszkanie-ID4wt6v.html,"Łódź, Bałuty",41.22,314000.0,7618.0,510.0,2.0,,wtórny
ul. Traktorowa,https://www.otodom.pl/pl/oferta/ul-traktorowa-ID4wtiE.html,"Łódź, Polesie",61.5,676500.0,11000.0,850.0,3.0,,wtórny
Spod nieba na Łódź Kaliską w sekundę!,https://www.otodom.pl/pl/oferta/spod-nieba-na-lodz-kaliska-w-sekunde-ID4uVs3.html,"Łódź, Polesie",37.2,297000.0,7984.0,970.0,2.0,,wtórny
NOWOŚĆ! 2pok. | do wprowadzenia | balkon | DĄBROWA,https://www.otodom.pl/pl/oferta/nowosc-2pok-do-wprowadzenia-balkon-dabrowa-ID4whG8.html,"Łódź, Górna",40.03,340000.0,8494.0,,2.0,,wtórny
Piękne 3 pokojowe mieszkanie do wprowadzenia,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-mieszkanie-do-wprowadzenia-ID4wtjJ.html,"Łódź, Górna",52.0,449000.0,8635.0,604.01,3.0,,wtórny
Przytulne mieszkanie w budynku wielorodzinnym,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-w-budynku-wielorodzinnym-ID4tQkx.html,"Łódź, Górna",45.0,269000.0,5978.0,,2.0,,wtórny
Mieszkanie 2 pokoje Łódź Urzędnicza,https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-lodz-urzednicza-CID3-ID14KPw6.html,"Łódź, Bałuty",37.4,296000.0,7914.44,,2.0,Blok,Wtórny
Urocze Dwa Pokoje Bez Barier !!!,https://www.otodom.pl/pl/oferta/urocze-dwa-pokoje-bez-barier-ID4wt8D.html,"Łódź, Polesie",38.23,365000.0,9547.0,750.0,2.0,,wtórny
Mieszkanie w prestiżowej lokalizacji Łodzi,https://www.otodom.pl/pl/oferta/mieszkanie-w-prestizowej-lokalizacji-lodzi-ID4wnob.html,"Łódź, Śródmieście",31.5,195000.0,6190.0,300.0,1.0,,wtórny
"ul. Łączna, do wprowadzenia, 2 pokoje, balkon, zielona okolica",https://www.olx.pl/d/oferta/ul-laczna-do-wprowadzenia-2-pokoje-balkon-zielona-okolica-CID3-ID14Yoy2.html,"Łódź, Górna",29.0,299970.0,10343.79,,2.0,Blok,Wtórny
Słoneczna kawalerka z dużą loggią na 8 piętrze,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-z-duza-loggia-na-8-pietrze-ID4tjJm.html,"Łódź, Widzew",39.94,289000.0,7236.0,690.0,1.0,,wtórny
M4 Olechów- praktyczny rozkład na I piętrze,https://www.otodom.pl/pl/oferta/m4-olechow-praktyczny-rozklad-na-i-pietrze-ID4wsM3.html,"Łódź, Widzew",62.0,460000.0,7419.0,800.0,3.0,,wtórny
"Mieszkanie na sprzedaż, ul. Piękna 72 - 36,19 m2 , 4 piętro, Łódź",https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-ul-piekna-72-36-19-m2-4-pietro-lodz-CID3-ID14Ylxo.html,"Łódź, Górna",36.19,245800.0,6791.93,,2.0,Blok,Wtórny
Gotowa do zamieszkani Kawalerka z antresolą! – 10 min od Piotrowskiej!,https://www.olx.pl/d/oferta/gotowa-do-zamieszkani-kawalerka-z-antresola-10-min-od-piotrowskiej-CID3-ID14D4O1.html,"Łódź, Śródmieście",16.0,175000.0,10937.5,,1.0,Kamienica,Wtórny
Tatrzańska – przytulne 2 pokoje na parterze !,https://www.otodom.pl/pl/oferta/tatrzanska-przytulne-2-pokoje-na-parterze-ID4wosQ.html,"Łódź, Górna",36.5,265000.0,7260.0,460.0,2.0,,wtórny
BEZPOŚREDNIO 2-pokojowe przytulne mieszkanie,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowe-przytulne-mieszkanie-ID4wm1C.html,"Łódź, Górna",31.99,255000.0,7971.0,420.84,2.0,,wtórny
"Centrum Łódź mieszkanie jednopokojowe z opcją dwóch pokoi 26,6m2",https://www.olx.pl/d/oferta/centrum-lodz-mieszkanie-jednopokojowe-z-opcja-dwoch-pokoi-26-6m2-CID3-ID14l8hG.html,"Łódź, Śródmieście",26.6,314000.0,11804.51,,1.0,Apartamentowiec,Pierwotny
"3-pokojowy apartament - Nowe Polesie, ul. Pienista",https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-nowe-polesie-ul-pienista-ID4wrnU.html,"Łódź, Polesie",61.19,645000.0,10541.0,1100.0,3.0,,wtórny
Mieszkanie na Bałutach - Bezpośrednio,https://www.otodom.pl/pl/oferta/mieszkanie-na-balutach-bezposrednio-ID4wtch.html,"Łódź, Bałuty",45.2,449000.0,9934.0,476.0,2.0,,wtórny
Inwestycyjny hit! 3 pokoje 46m² – duże możliwości,https://www.otodom.pl/pl/oferta/inwestycyjny-hit-3-pokoje-46m-duze-mozliwosci-ID4uFbb.html,"Łódź, Polesie",46.0,317000.0,6891.0,695.0,3.0,,wtórny
Kawalerka W Zielonej Części Bałut,https://www.otodom.pl/pl/oferta/kawalerka-w-zielonej-czesci-balut-ID4wkcA.html,"Łódź, Bałuty",32.51,266000.0,8182.0,540.0,1.0,,wtórny
3 Pokoje z ogródkiem i widokiem na las,https://www.otodom.pl/pl/oferta/3-pokoje-z-ogrodkiem-i-widokiem-na-las-ID4wpaA.html,"Łódź, Polesie",44.22,429999.0,9724.0,470.0,3.0,,pierwotny
"1 piętro, winda, 49,95 m2, ul. Tuwima, Nowe Centrum Łodzi",https://www.olx.pl/d/oferta/1-pietro-winda-49-95-m2-ul-tuwima-nowe-centrum-lodzi-CID3-ID14eMS3.html,"Łódź, Śródmieście",49.95,499000.0,9989.99,,2.0,Kamienica,Wtórny
Mieszkanie gotowe do wprowadzenia! M3! Okazja! Dąb,https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-wprowadzenia-m3-okazja-dab-ID4wrP6.html,Łódź,39.66,379000.0,9556.0,590.0,2.0,,wtórny
Ładne Mieszkanie 3 Pokojowe/Zarzew,https://www.otodom.pl/pl/oferta/ladne-mieszkanie-3-pokojowe-zarzew-ID4wrCi.html,"Łódź, Widzew",47.22,435000.0,9212.0,840.0,3.0,,wtórny
"Na sprzedaż, rozkładowe 3 pokojowe mieszkanie.",https://www.otodom.pl/pl/oferta/na-sprzedaz-rozkladowe-3-pokojowe-mieszkanie-ID4wjfs.html,"Łódź, Bałuty",57.0,419000.0,7351.0,663.0,3.0,,wtórny
"3 pokoje + oddz. kuchnia, ul. Chóralna, Łódź Górna",https://www.otodom.pl/pl/oferta/3-pokoje-oddz-kuchnia-ul-choralna-lodz-gorna-ID4woyF.html,"Łódź, Górna",62.0,515000.0,8306.0,700.0,3.0,,wtórny
3-pokojowe mieszkanie na Widzewie | 52 m² |,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-widzewie-52-m-ID4wnIp.html,"Łódź, Widzew",52.0,409000.0,7865.0,630.0,3.0,,wtórny
2 Pokoje 47.4 m2 - Do Remontu Centralne ogrzewanie,https://www.otodom.pl/pl/oferta/2-pokoje-47-4-m2-do-remontu-centralne-ogrzewanie-ID4wt5Z.html,"Łódź, Polesie",47.4,260000.0,5485.0,630.0,2.0,,wtórny
"Mieszkanie W Stanie Deweloperskim, Stacja Łódź",https://www.otodom.pl/pl/oferta/mieszkanie-w-stanie-deweloperskim-stacja-lodz-ID4wtAX.html,"Łódź, Górna",41.93,499360.0,11909.0,0.0,2.0,,pierwotny
"Atrakcyjne, trzypokojowe, z dobrym rozkładem",https://www.otodom.pl/pl/oferta/atrakcyjne-trzypokojowe-z-dobrym-rozkladem-ID4tSCo.html,"Łódź, Widzew",61.5,449000.0,7301.0,,3.0,,wtórny
4-pokoje z ogrodem w segmencie,https://www.otodom.pl/pl/oferta/4-pokoje-z-ogrodem-w-segmencie-ID4wpsa.html,"Łódź, Górna",81.0,882900.0,10900.0,690.0,4.0,,wtórny
"Blisko komunikacji, pełen rozkład, balkon",https://www.otodom.pl/pl/oferta/blisko-komunikacji-pelen-rozklad-balkon-ID4uwZz.html,"Łódź, Widzew",53.65,355000.0,6617.0,565.0,2.0,,wtórny
Sprzedam Ci Twoje wymarzone mieszkanie…,https://www.olx.pl/d/oferta/sprzedam-ci-twoje-wymarzone-mieszkanie-CID3-ID14BQrC.html,"Łódź, Widzew",23.1,230000.0,9956.71,,1.0,Kamienica,Wtórny
rezerwacja,https://www.otodom.pl/pl/oferta/rezerwacja-ID4wany.html,"Łódź, Górna",52.01,437000.0,8402.0,1000.0,3.0,,wtórny
Stylowe Mieszkanie w Sercu Łodzi – Kilińskiego 105,https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-w-sercu-lodzi-kilinskiego-105-ID4wnN0.html,"Łódź, Śródmieście",81.45,420000.0,5157.0,630.0,3.0,,wtórny
M3 Z Dużym Balkonem.,https://www.otodom.pl/pl/oferta/m3-z-duzym-balkonem-ID4w8vN.html,"Łódź, Polesie",36.91,339000.0,9185.0,400.0,2.0,,wtórny
Mieszkanie na Widzewie czeka na Ciebie!,https://www.otodom.pl/pl/oferta/mieszkanie-na-widzewie-czeka-na-ciebie-ID4whYh.html,"Łódź, Widzew",44.5,380000.0,8539.0,900.0,2.0,,wtórny
Przytulna I Widna Kawalerka,https://www.otodom.pl/pl/oferta/przytulna-i-widna-kawalerka-ID4t36F.html,Łódź,24.61,185000.0,7517.0,340.0,1.0,,wtórny
Atrakcyjne 2 pokoje na Karolewie - od zaraz,https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokoje-na-karolewie-od-zaraz-ID4uPOi.html,"Łódź, Polesie",38.0,375000.0,9868.0,550.0,2.0,,wtórny
NOWOŚĆ! Mieszkanie z potencjałem! 38m2 | balkon,https://www.otodom.pl/pl/oferta/nowosc-mieszkanie-z-potencjalem-38m2-balkon-ID4wqz3.html,"Łódź, Górna",38.08,289000.0,7589.0,,1.0,,wtórny
"2 Pokoje w samym centrum Łodzi, pod klucz",https://www.otodom.pl/pl/oferta/2-pokoje-w-samym-centrum-lodzi-pod-klucz-ID4wdqi.html,"Łódź, Śródmieście",34.01,248000.0,7292.0,340.0,2.0,,wtórny
Nowoczesne 2 pokoje. Gotowe do wprowadzenia,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-gotowe-do-wprowadzenia-ID4wpn4.html,"Łódź, Górna",35.1,337000.0,9601.0,371.0,2.0,,wtórny
Przestronne M-3 Doły cegła!!,https://www.otodom.pl/pl/oferta/przestronne-m-3-doly-cegla-ID4uePn.html,"Łódź, Bałuty",60.0,420000.0,7000.0,860.0,2.0,,wtórny
"Na sprzedaż M4 – 3 pokoje, 54m², ul. Kosmonautów",https://www.otodom.pl/pl/oferta/na-sprzedaz-m4-3-pokoje-54m-ul-kosmonautow-ID4wtiV.html,"Łódź, Górna",54.2,420000.0,7749.0,,3.0,,wtórny
