tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/retkinia-kawalerka-piekny-widok-winda-ID4uTlW.html,,31.0,255000.0,8226.0,335.0,1.0,blok,wtórny,miejskie,> 10/11,brak informacji,pełna własność,2025-02-10,biuro nieruchomości,,,tak,wielka płyta,,,"meble, piekarnik, lodówka, pralka",,"telefon, internet, telewizja kablowa",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-2-pokojowe-na-lelewela17-ID4wwjH.html,,42.98,305000.0,7096.0,603.0,2.0,blok,wtórny,miejskie,8/10,do remontu,pełna własność,2025-03-19,prywatny,"balkon, piwnica, oddzielna kuchnia",,tak,wielka płyta,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/sloneczne-3-pokojowe-mieszkanie-po-remoncie-gorna-ID4uZL9.html,,54.37,479000.0,8810.0,490.0,3.0,blok,wtórny,miejskie,3/4,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",1961,nie,wielka płyta,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-71-91-m2-z-balkonem-komorka-ID4wvDX.html,,71.91,647000.0,8997.0,,3.0,blok,wtórny,miejskie,parter/2,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",2006,nie,,plastikowe,W trakcie realizacji / Zwolnione,"zmywarka, meble, piekarnik, kuchenka","domofon / wideofon, rolety antywłamaniowe","telewizja kablowa, internet, telefon",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
