tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-51m2-ogrodek-bez-prowizji-ID4uuB7,,51.15,479000.0,9365.0,,3.0,,pierwotny,brak informacji,parter/1,do wykończenia,pełna własność,2025-11-15,deweloper,,2025,nie,,,,,,,otodom
,https://www.otodom.pl/pl/oferta/fuzja-ul-milionowa-4-pokoje-2-miejsca-postojowe-ID4wBrj,,75.83,999990.0,13187.0,880.0,4.0,apartamentowiec,wtórny,miejskie,4/4,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, garaż/miejsce parkingowe, piwnica, pom. użytkowe",,tak,,plastikowe,C,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-ogrodek-bez-prowizji-ID4uawe,,53.5,,,,3.0,,pierwotny,brak informacji,parter/1,do wykończenia,pełna własność,2025-03-15,deweloper,"taras, ogródek",2025,nie,,,,,,,otodom
,https://www.otodom.pl/pl/oferta/m4-stary-widzew-ID4tlIl,,55.0,420000.0,7636.0,,3.0,blok,wtórny,miejskie,10/11,brak informacji,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",,tak,wielka płyta,plastikowe,,,,,otodom
,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-w-sercu-miasta-82-m2-ID4wfQH,,81.92,753848.0,9202.0,1200.0,3.0,blok,wtórny,miejskie,7/23,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,biuro nieruchomości,"oddzielna kuchnia, pom. użytkowe",1982,nie,wielka płyta,plastikowe,A,"zmywarka, lodówka, piekarnik, kuchenka",,"telewizja kablowa, internet",otodom
,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-do-remontu-ID4uAEM,,55.0,379000.0,6891.0,800.0,3.0,blok,wtórny,miejskie,2/4,do remontu,pełna własność,brak informacji,prywatny,"balkon, piwnica, pom. użytkowe",,nie,cegła,plastikowe,,,,"telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-taras-bezposrednio-ID4uskA,,38.63,,,,2.0,,pierwotny,brak informacji,3/6,do wykończenia,pełna własność,2024-10-15,deweloper,"taras, garaż/miejsce parkingowe",2024,tak,,,,,,,otodom
,https://www.otodom.pl/pl/oferta/kopernika-15-m3-66-14-mkw-nowa-inwestycja-ID4jXtQ,,66.14,892890.0,13500.0,,3.0,loft,pierwotny,miejskie,parter/4,do wykończenia,pełna własność,brak informacji,biuro nieruchomości,"ogródek, taras",2023,tak,silikat,drewniane,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-za-odstepne-w-prywatnej-kamien-ID4wMWX,,39.0,47000.0,1205.0,800.0,2.0,kamienica,wtórny,elektryczne,2/3,do zamieszkania,użytkowanie wieczyste / dzierżawa,brak informacji,biuro nieruchomości,,,nie,cegła,plastikowe,,"lodówka, meble, pralka",,,otodom
,https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-ID4wwXf,,87.0,660000.0,7586.0,,3.0,blok,wtórny,miejskie,4/4,do zamieszkania,brak informacji,brak informacji,biuro nieruchomości,"taras, piwnica, oddzielna kuchnia",1995,nie,cegła,,,"lodówka, meble, pralka",,,otodom
,https://www.otodom.pl/pl/oferta/cud-miod-loft-ul-tymienieckiego-25d-ID4wKci,,59.38,585000.0,9852.0,690.0,2.0,apartamentowiec,wtórny,miejskie,3/5,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,,,tak,cegła,plastikowe,W trakcie realizacji / Zwolnione,,,,otodom
